query,price,elegancia_company_name,elegancia_company_price,shopping_china_name,shopping_china_price,toku_importados_name,toku_importados_price,multipass_name,multipass_price,nissei_name,nissei_price,cellshop_name,cellshop_price,mega_eletrônicos_name,mega_eletrônicos_price,pioneer_international_name,pioneer_international_price,mobile_zone_name,mobile_zone_price,la_petisquera_name,la_petisquera_price,madrid_center_name,madrid_center_price,star_company_name,star_company_price,pontocom_name,pontocom_price,atlantico_shop_name,atlantico_shop_price,victoria_store_name,victoria_store_price,macedonia_name,macedonia_price,alborada_name,alborada_price,atacado_connect_name,atacado_connect_price,genove_name,genove_price,epic_importados_name,epic_importados_price,casa_americana_name,casa_americana_price,mega_eletro_name,mega_eletro_price,smart_store_name,smart_store_price,world_of_vape_name,world_of_vape_price,asm_group_name,asm_group_price,dr_cell_atacado_name,dr_cell_atacado_price,charme_perfumaria_name,charme_perfumaria_price,prime_shop_name,prime_shop_price,roma_shopping_name,roma_shopping_price,agatres_name,agatres_price,aroma_store_s.a_name,aroma_store_s.a_price,super_games_name,super_games_price,terra_nova_name,terra_nova_price,adeshop_name,adeshop_price,brands_for_less_name,brands_for_less_price,sampa_vapor_name,sampa_vapor_price,top_house_name,top_house_price,computech_name,computech_price,mini_carlos_name,mini_carlos_price,mario_cell_name,mario_cell_price,eshop_name,eshop_price,new_zone_name,new_zone_price,matrix_importados_name,matrix_importados_price,centro_de_motorola_name,centro_de_motorola_price
AL WATANIAH SABAH AL WARD EDP 100ML FEM,,elegancia_company,"US$ 24,99",shopping_china,"US$ 28,00",toku_importados,"US$ 26,00",multipass,"US$ 26,00",nissei,"US$ 28,00",cellshop,"US$ 27,00",mega_eletrônicos,"US$ 24,00",pioneer_international,"US$ 24,00",mobile_zone,"US$ 26,00",la_petisquera,"US$ 26,00",madrid_center,"US$ 26,00",star_company,"US$ 23,00",pontocom,"US$ 28,00",atlantico_shop,"US$ 26,00",victoria_store,"US$ 32,00",macedonia,"US$ 23,50",alborada,"US$ 27,00",atacado_connect,"US$ 23,00",genove,"US$ 24,00",epic_importados,"US$ 25,00",casa_americana,"US$ 30,00",mega_eletro,"US$ 25,50",smart_store,"US$ 33,00",world_of_vape,"US$ 25,00",asm_group,"US$ 25,00",dr_cell_atacado,"US$ 25,00",charme_perfumaria,"US$ 28,00",prime_shop,"US$ 23,50",roma_shopping,"US$ 29,00",agatres,"US$ 26,50",,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARMAF CLUB DE NUIT INTENSE MAN EDT 105ML,,elegancia_company,"US$ 35,00",shopping_china,"US$ 32,00",toku_importados,"US$ 27,00",multipass,"US$ 27,90",nissei,"US$ 40,00",cellshop,"US$ 41,00",mega_eletrônicos,"US$ 27,50",pioneer_international,"US$ 24,00",mobile_zone,"US$ 28,00",,,madrid_center,"US$ 28,00",star_company,"US$ 23,50",pontocom,"US$ 30,00",,,victoria_store,"US$ 30,00",macedonia,"US$ 24,25",,,atacado_connect,"US$ 23,50",genove,"US$ 24,50",epic_importados,"US$ 25,00",,,mega_eletro,"US$ 27,50",,,,,asm_group,"US$ 30,00",dr_cell_atacado,"US$ 25,00",,,prime_shop,"US$ 23,50",roma_shopping,"US$ 30,00",agatres,"US$ 27,50",aroma_store_s.a,"US$ 26,00",super_games,"US$ 23,50",terra_nova,"US$ 43,00",adeshop,"US$ 27,00",brands_for_less,"US$ 28,00",sampa_vapor,"US$ 35,00",top_house,"US$ 25,50",,,,,,,,,,,,,,
LATTAFA AJWAD 100ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATTAFA AJWAD PINK TO PINK EDP 60ML,,elegancia_company,"US$ 25,00",shopping_china,"US$ 37,50",,,,,nissei,"US$ 25,00",,,mega_eletrônicos,"US$ 19,00",,,mobile_zone,"US$ 25,00",la_petisquera,"US$ 20,00",madrid_center,"US$ 19,00",star_company,"US$ 16,00",pontocom,"US$ 18,00",atlantico_shop,"US$ 25,00",,,macedonia,"US$ 17,00",,,atacado_connect,"US$ 15,50",,,epic_importados,"US$ 18,00",,,mega_eletro,"US$ 19,00",,,,,,,,,,,,,,,agatres,"US$ 17,00",aroma_store_s.a,"US$ 20,00",,,,,adeshop,"US$ 20,00",,,sampa_vapor,"US$ 21,00",,,,,,,,,,,,,,,,
LATTAFA ASAD EDP 100ML,,elegancia_company,"US$ 28,00",shopping_china,"US$ 19,00",toku_importados,"US$ 17,99",multipass,"US$ 19,50",nissei,"US$ 29,00",cellshop,"US$ 38,00",mega_eletrônicos,"US$ 18,00",,,mobile_zone,"US$ 18,00",la_petisquera,"US$ 39,00",,,star_company,"US$ 11,40",pontocom,"US$ 36,00",atlantico_shop,"US$ 13,00",,,macedonia,"US$ 12,50",,,,,,,epic_importados,"US$ 14,00",,,mega_eletro,"US$ 18,00",smart_store,"US$ 17,00",,,asm_group,"US$ 18,00",dr_cell_atacado,"US$ 15,00",,,prime_shop,"US$ 11,40",roma_shopping,"US$ 26,00",agatres,"US$ 15,00",aroma_store_s.a,"US$ 22,50",,,terra_nova,"US$ 42,00",adeshop,"US$ 13,50",brands_for_less,"US$ 23,00",sampa_vapor,"US$ 35,00",top_house,"US$ 29,50",computech,"US$ 17,00",mini_carlos,"US$ 22,00",mario_cell,"US$ 23,00",eshop,"US$ 11,40",new_zone,"US$ 22,00",,,,
LATTAFA BADEE AL OUD AMETHYST 100ML,,elegancia_company,"US$ 27,00",shopping_china,"US$ 15,80",toku_importados,"US$ 30,00",multipass,"US$ 18,50",nissei,"US$ 24,00",cellshop,"US$ 24,00",mega_eletrônicos,"US$ 21,00",pioneer_international,"US$ 15,00",mobile_zone,"US$ 18,00",la_petisquera,"US$ 23,00",madrid_center,"US$ 17,50",star_company,"US$ 14,50",pontocom,"US$ 20,00",atlantico_shop,"US$ 18,00",,,macedonia,"US$ 14,50",,,,,genove,"US$ 15,50",epic_importados,"US$ 16,50",,,mega_eletro,"US$ 21,00",,,,,asm_group,"US$ 30,00",dr_cell_atacado,"US$ 15,00",charme_perfumaria,"US$ 18,00",prime_shop,"US$ 14,50",,,agatres,"US$ 15,00",aroma_store_s.a,"US$ 20,00",,,terra_nova,"US$ 26,00",,,brands_for_less,"US$ 22,00",sampa_vapor,"US$ 25,00",,,computech,"US$ 19,00",,,mario_cell,"US$ 20,00",,,,,matrix_importados,"US$ 35,00",centro_de_motorola,"US$ 20,00"
LATTAFA BADEE AL OUD FOR GLORY 100ML,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATTAFA FAKHAR EDP 100ML MASC,,elegancia_company,"US$ 28,00",shopping_china,"US$ 30,00",toku_importados,"US$ 30,00",multipass,"US$ 24,00",nissei,"US$ 26,00",cellshop,"US$ 37,00",,,pioneer_international,"US$ 21,75",mobile_zone,"US$ 25,00",la_petisquera,"US$ 26,00",madrid_center,"US$ 25,50",star_company,"US$ 21,50",pontocom,"US$ 26,00",,,victoria_store,"US$ 24,00",macedonia,"US$ 20,75",,,atacado_connect,"US$ 21,90",genove,"US$ 22,00",epic_importados,"US$ 23,50",,,,,,,world_of_vape,"US$ 22,00",asm_group,"US$ 25,00",dr_cell_atacado,"US$ 23,00",charme_perfumaria,"US$ 26,00",prime_shop,"US$ 21,50",roma_shopping,"US$ 28,00",agatres,"US$ 22,50",,,,,,,,,,,sampa_vapor,"US$ 25,00",top_house,"US$ 23,00",,,,,,,,,,,matrix_importados,"US$ 34,00",,
LATTAFA FAKHAR EXTRAIT GOLD EDP 100ML,,elegancia_company,"US$ 26,00",,,,,multipass,"US$ 26,50",,,,,,,,,mobile_zone,"US$ 26,00",la_petisquera,"US$ 20,00",madrid_center,"US$ 22,00",star_company,"US$ 17,75",,,atlantico_shop,"US$ 26,00",,,macedonia,"US$ 17,75",,,atacado_connect,"US$ 17,90",genove,"US$ 19,00",epic_importados,"US$ 18,75",,,,,,,world_of_vape,"US$ 19,00",asm_group,"US$ 20,00",,,,,prime_shop,"US$ 17,75",roma_shopping,"US$ 24,00",agatres,"US$ 22,00",aroma_store_s.a,"US$ 20,00",,,,,adeshop,"US$ 24,00",,,sampa_vapor,"US$ 23,00",,,computech,"US$ 20,00",,,,,,,,,,,,
LATTAFA FAKHAR ROSE GOLD EDP 100ML FEM,,elegancia_company,"US$ 28,00",shopping_china,"US$ 32,00",,,multipass,"US$ 21,50",nissei,"US$ 26,00",cellshop,"US$ 28,00",,,pioneer_international,"US$ 21,50",mobile_zone,"US$ 25,00",la_petisquera,"US$ 24,00",madrid_center,"US$ 26,50",star_company,"US$ 22,00",pontocom,"US$ 28,00",,,victoria_store,"US$ 27,00",macedonia,"US$ 23,25",,,atacado_connect,"US$ 22,50",genove,"US$ 23,50",epic_importados,"US$ 24,50",,,,,,,,,asm_group,"US$ 25,00",dr_cell_atacado,"US$ 23,00",,,prime_shop,"US$ 21,50",,,agatres,"US$ 22,50",,,,,terra_nova,"US$ 26,00",adeshop,"US$ 25,00",brands_for_less,"US$ 26,00",sampa_vapor,"US$ 25,00",top_house,"US$ 24,50",,,mini_carlos,"US$ 24,00",,,,,,,matrix_importados,"US$ 32,00",,
